id,video_id,path,overall,intonation,tone,timing,technique,chunk_start,chunk_end,url,original_id,augment_idx
d1a15fe5_2_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug00.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,0
d1a15fe5_2_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug01.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,1
d1a15fe5_2_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug02.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,2
d1a15fe5_2_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug03.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,3
d1a15fe5_2_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug04.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,4
d1a15fe5_2_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug05.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,5
d1a15fe5_2_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug06.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,6
d1a15fe5_2_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_2_aug07.wav,,,,,,40.0,60.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_2,7
d1a15fe5_1_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug00.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,0
d1a15fe5_1_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug01.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,1
d1a15fe5_1_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug02.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,2
d1a15fe5_1_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug03.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,3
d1a15fe5_1_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug04.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,4
d1a15fe5_1_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug05.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,5
d1a15fe5_1_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug06.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,6
d1a15fe5_1_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_1_aug07.wav,,,,,,20.0,40.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_1,7
d1a15fe5_3_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug00.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,0
d1a15fe5_3_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug01.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,1
d1a15fe5_3_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug02.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,2
d1a15fe5_3_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug03.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,3
d1a15fe5_3_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug04.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,4
d1a15fe5_3_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug05.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,5
d1a15fe5_3_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug06.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,6
d1a15fe5_3_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_3_aug07.wav,,,,,,60.0,80.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_3,7
d1a15fe5_5_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug00.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,0
d1a15fe5_5_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug01.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,1
d1a15fe5_5_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug02.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,2
d1a15fe5_5_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug03.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,3
d1a15fe5_5_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug04.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,4
d1a15fe5_5_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug05.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,5
d1a15fe5_5_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug06.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,6
d1a15fe5_5_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_5_aug07.wav,,,,,,100.0,120.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_5,7
d1a15fe5_4_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug00.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,0
d1a15fe5_4_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug01.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,1
d1a15fe5_4_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug02.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,2
d1a15fe5_4_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug03.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,3
d1a15fe5_4_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug04.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,4
d1a15fe5_4_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug05.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,5
d1a15fe5_4_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug06.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,6
d1a15fe5_4_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_4_aug07.wav,,,,,,80.0,100.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_4,7
d1a15fe5_0_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug00.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,0
d1a15fe5_0_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug01.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,1
d1a15fe5_0_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug02.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,2
d1a15fe5_0_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug03.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,3
d1a15fe5_0_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug04.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,4
d1a15fe5_0_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug05.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,5
d1a15fe5_0_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug06.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,6
d1a15fe5_0_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_0_aug07.wav,,,,,,0.0,20.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_0,7
d1a15fe5_6_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug00.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,0
d1a15fe5_6_aug01,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug01.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,1
d1a15fe5_6_aug02,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug02.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,2
d1a15fe5_6_aug03,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug03.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,3
d1a15fe5_6_aug04,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug04.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,4
d1a15fe5_6_aug05,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug05.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,5
d1a15fe5_6_aug06,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug06.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,6
d1a15fe5_6_aug07,d1a15fe5,data/audio_augmented_all/d1a15fe5_6_aug07.wav,,,,,,120.0,140.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_6,7
d1a15fe5_7_aug00,d1a15fe5,data/audio_augmented_all/d1a15fe5_7_aug00.wav,,,,,,140.0,160.0,https://www.youtube.com/watch?v=9ECUGstamCg,d1a15fe5_7,0
