sample_id,user_id,overall,intonation,tone,timing,technique,rejected,timestamp
ea7a0339_8,adnan3,4,3,4,5,5,False,2025-12-08T23:16:25.992324
16942b49_15,adnan3,3,3,3,3,3,False,2025-12-08T23:19:40.378878
1c10e3b7_21,adnan3,4,3,4,5,4,False,2025-12-08T23:20:21.105715
4ca22ca1_23,adnan3,3,3,3,5,3,False,2025-12-08T23:20:51.804503
8447dad3_2,adnan3,4,5,4,4,4,False,2025-12-08T23:21:37.572201
c734fdb8_28,adnan3,,,,,,True,2025-12-08T23:22:12.608958
16942b49_26,adnan3,4,3,3,4,5,False,2025-12-08T23:23:00.581131
499e4ffc_17,adnan3,1,2,2,2,2,False,2025-12-08T23:23:23.448252
be634a7c_18,adnan3,3,3,4,4,3,False,2025-12-08T23:23:44.490096
648d870e_5,adnan3,4,3,5,5,4,False,2025-12-08T23:24:32.907277
0af7df9b_10,adnan3,3,4,4,3,4,False,2025-12-08T23:25:53.316994
16942b49_7,adnan3,3,2,3,2,2,False,2025-12-08T23:32:49.892056
4f38bc73_0,adnan3,3,2,2,3,3,False,2025-12-08T23:34:06.190662
a84845ab_0,adnan3,3,2,3,4,2,False,2025-12-08T23:35:21.355539
7728d41e_7,adnan3,,,,,,True,2025-12-08T23:35:33.920678
ea7a0339_15,adnan3,3,3,3,4,4,False,2025-12-08T23:36:34.186856
d1a15fe5_8,adnan3,5,5,4,5,5,False,2025-12-08T23:37:22.440784
5d37668b_11,adnan3,,,,,,True,2025-12-08T23:37:27.996010
77dbaa3e_12,adnan3,4,4,4,4,5,False,2025-12-08T23:38:02.096394
aecb3945_29,adnan3,,,,,,True,2025-12-08T23:38:06.412218
d134069e_7,adnan3,5,4,5,5,5,False,2025-12-08T23:38:28.843877
5d37668b_14,adnan3,4,2,4,5,3,False,2025-12-08T23:39:35.844161
05c9b2c6_7,adnan3,3,2,3,5,2,False,2025-12-08T23:40:17.796567
d8206c30_0,adnan3,1,1,1,2,1,False,2025-12-08T23:40:33.783619
77dbaa3e_16,adnan3,3,4,3,3,4,False,2025-12-08T23:41:06.003459
c734fdb8_19,adnan3,3,3,4,5,4,False,2025-12-08T23:42:14.567538
7f4d9046_15,adnan3,,,,,,True,2025-12-08T23:42:28.981288
6a09e010_13,adnan3,1,2,3,1,2,False,2025-12-08T23:43:07.639743
6a09e010_6,adnan3,3,2,3,4,4,False,2025-12-08T23:43:27.963002
c734fdb8_8,adnan3,,,,,,True,2025-12-08T23:43:35.532093
a5d5e961_0,adnan3,2,1,3,2,1,False,2025-12-08T23:43:55.299403
d25af788_5,adnan3,1,1,1,4,2,False,2025-12-08T23:44:18.003172
476d6fc7_0,adnan3,,,,,,True,2025-12-08T23:44:24.101527
5d37668b_40,adnan3,,,,,,True,2025-12-08T23:44:31.718805
fcc7433b_19,adnan3,,,,,,True,2025-12-08T23:44:39.211073
ea7a0339_17,adnan3,5,5,5,5,5,False,2025-12-08T23:47:02.352143
fbeda344_0,adnan3,1,1,1,2,1,False,2025-12-08T23:47:28.032190
3ea977b6_2,adnan3,3,2,4,4,4,False,2025-12-08T23:48:04.735367
80753fc3_10,adnan3,3,2,4,4,4,False,2025-12-08T23:48:28.457691
fcf4a449_3,adnan3,2,1,3,4,1,False,2025-12-08T23:49:01.790713
7728d41e_18,adnan3,,,,,,True,2025-12-08T23:49:03.660145
6618fdad_0,adnan3,4,5,4,3,2,False,2025-12-08T23:49:30.971392
77dbaa3e_13,adnan3,4,3,4,5,4,False,2025-12-08T23:49:46.418903
3ced077e_33,adnan3,,,,,,True,2025-12-08T23:49:49.707977
cf94ced3_5,adnan3,3,3,4,2,3,False,2025-12-08T23:50:27.164544
16942b49_10,adnan3,2,2,4,4,3,False,2025-12-08T23:51:03.646093
7728d41e_11,adnan3,,,,,,True,2025-12-08T23:51:07.030001
3ea977b6_17,adnan3,,,,,,True,2025-12-08T23:51:17.739686
6ad549ad_1,adnan3,1,1,1,2,1,False,2025-12-08T23:51:45.029836
fa454b35_16,adnan3,,,,,,True,2025-12-08T23:51:53.373500
3ced077e_4,adnan3,,,,,,True,2025-12-08T23:51:57.811561
77dbaa3e_24,adnan3,,,,,,True,2025-12-08T23:52:01.235648
4ca22ca1_17,adnan3,2,2,3,3,3,False,2025-12-08T23:53:03.506153
fcc7433b_24,adnan3,,,,,,True,2025-12-08T23:53:05.714597
e2bf9fb4_9,adnan3,,,,,,True,2025-12-08T23:53:07.574089
77dbaa3e_25,adnan3,4,4,3,5,4,False,2025-12-08T23:54:46.519611
